335  A=E8 X=00 Y=0A; N.......; 00:E041: asl $fea6           
336  A=E8 X=00 Y=0A; ......ZC; 00:E044: bcc 00e049 ($3)     
337  A=E8 X=00 Y=0A; ......ZC; 00:E046: jsr $bf06           
338  A=E8 X=00 Y=0A; ......ZC; 00:BF06: jmp $d742           
339  A=E8 X=00 Y=0A; ......ZC; 00:D742: sep #$30            
340  A=E8 X=00 Y=0A; ......ZC; 00:D744: lda STATEREG        
341  A=00 X=00 Y=0A; ......ZC; 00:D747: sta $d798           
342  A=00 X=00 Y=0A; ......ZC; 00:D74A: and #$cf            
343  A=00 X=00 Y=0A; ......ZC; 00:D74C: sta STATEREG        
344  A=00 X=00 Y=0A; ......ZC; 00:D74F: clc                 
345  A=00 X=00 Y=0A; ......Z.; 00:D750: xce                 
346  A=00 X=00 Y=0A; ......ZC; 00:D751: rep #$30            
347  A=00 X=00 Y=0A; ......ZC; 00:D753: lda #$0000          
348  A=00 X=00 Y=0A; ......ZC; 00:D756: pha                 
349  A=00 X=00 Y=0A; ......ZC; 00:D757: pha                 
350  A=00 X=00 Y=0A; ......ZC; 00:D758: pha                 
351  A=00 X=00 Y=0A; ......ZC; 00:D759: pha                 
352  A=00 X=00 Y=0A; ......ZC; 00:D75A: _ReadTimeHex():WkDay,Mn&Dy,Yr&Hr,Mn&Sec (0d03)
353  A=00 X=03 Y=0A; .......C; 00:D75D: jsl >System Tool dispatcher
354  A=00 X=03 Y=0A; .......C; E1:0000: jmp $fe00c5         
355  A=00 X=03 Y=0A; .......C; FE:00C5: pea $fe01           
356  A=00 X=03 Y=0A; .......C; FE:00C8: pea $3700           
357  A=00 X=03 Y=0A; .......C; FE:00CB: rep #$30            
358  A=00 X=03 Y=0A; .......C; FE:00CD: lda $e103c0         
359  A=39 X=03 Y=0A; .......C; FE:00D1: pha                 
360  A=39 X=03 Y=0A; .......C; FE:00D2: lda $e103c1         
361  A=01 X=03 Y=0A; N......C; FE:00D6: sta $2,s            
362  A=01 X=03 Y=0A; N......C; FE:00D8: lda $e103ca         
363  A=1F X=03 Y=0A; .......C; FE:00DC: pha                 
364  A=1F X=03 Y=0A; .......C; FE:00DD: lda $e103c8         
365  A=3C X=03 Y=0A; N......C; FE:00E1: pha                 
366  A=3C X=03 Y=0A; N......C; FE:00E2: tsc                 
367  A=DC X=03 Y=0A; .......C; FE:00E3: phd                 
368  A=DC X=03 Y=0A; .......C; FE:00E4: tcd                 
369  A=DC X=03 Y=0A; .......C; FE:00E5: txa                 
370  A=03 X=03 Y=0A; .......C; FE:00E6: pha                 
371  A=03 X=03 Y=0A; .......C; FE:00E7: and #$00ff          
372  A=03 X=03 Y=0A; .......C; FE:00EA: beq fe0126 ($3a)    
373  A=03 X=03 Y=0A; .......C; FE:00EC: cmp [$05]           
374  A=03 X=03 Y=0A; N.......; FE:00EE: bcs fe0126 ($36)    
375  A=03 X=03 Y=0A; N.......; FE:00F0: asla                
376  A=06 X=03 Y=0A; ........; FE:00F1: asla                
377  A=0C X=03 Y=0A; ........; FE:00F2: tay                 
378  A=0C X=03 Y=0C; ........; FE:00F3: lda [$01],y         
379  A=00 X=03 Y=0C; ......Z.; FE:00F5: tax                 
380  A=00 X=00 Y=0C; ......Z.; FE:00F6: iny                 
381  A=00 X=00 Y=0D; ........; FE:00F7: iny                 
382  A=00 X=00 Y=0E; ........; FE:00F8: lda [$01],y         
383  A=00 X=00 Y=0E; ......Z.; FE:00FA: sta $03             
384  A=00 X=00 Y=0E; ......Z.; FE:00FC: stx $01             
385  A=00 X=00 Y=0E; ......Z.; FE:00FE: dey                 
